,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
滁州,13,0,13,0,0,,,,
黄山,9,0,9,0,0,,,,
宣城,6,0,6,0,0,,,,
境外输入,3,0,2,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
新疆,980,0,977,3,0,0.0,,,
乌鲁木齐,845,0,845,0,0,,,,
喀什,80,0,80,0,0,,,,
伊犁州,18,0,18,0,0,,,,
兵团第四师,10,0,9,1,0,,,,
昌吉州,5,0,5,0,0,,,,
第八师石河子,4,0,3,1,0,,,,
兵团第九师,4,0,3,1,0,,,,
吐鲁番,3,0,3,0,0,,,,
兵团第十二师,3,0,3,0,0,,,,
巴州,3,0,3,0,0,,,,
六师五家渠,2,0,2,0,0,,,,
阿克苏,1,0,1,0,0,,,,
第七师,1,0,1,0,0,,,,
未明确地区,1,0,1,0,0,,,,
兵团第六师五家渠市,0,0,0,0,0,,,,
阿拉尔,0,0,0,0,0,,,,
阿勒泰,0,0,0,0,0,,,,
和田,0,0,0,0,0,,,,
博尔塔拉蒙古自治州,0,0,0,0,0,,,,
塔城,0,0,0,0,0,,,,
哈密,0,0,0,0,0,,,,
图木舒克,0,0,0,0,0,,,,
兵团第八师石河子市,0,0,0,0,0,,,,
兵团第七师,0,0,0,0,0,,,,
克拉玛依,0,0,0,0,0,,,,
克孜勒苏柯尔克孜自治州,0,0,0,0,0,,,,
江西,935,0,934,1,0,0.0,,,
南昌,230,0,230,0,0,,,,
新余,129,0,129,0,0,,,,
上饶,123,0,123,0,0,,,,
九江,116,0,116,0,0,,,,
宜春,106,0,106,0,0,,,,
赣州,74,0,73,1,0,,,,
抚州,72,0,72,0,0,,,,
萍乡,33,0,33,0,0,,,,
吉安,22,0,22,0,0,,,,
鹰潭,18,0,18,0,0,,,,
景德镇,6,0,6,0,0,,,,
境外输入,5,0,5,0,0,,,,
赣江新区,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
台湾,909,0,823,8,0,0.0,,,
未明确地区,909,0,823,8,0,,,,
四川,870,0,855,3,0,0.0,,,
境外输入,316,0,304,0,0,,,,
成都,158,0,155,3,0,,,,
甘孜,78,0,78,0,0,,,,
达州,42,0,42,0,0,,,,
南充,39,0,39,0,0,,,,
广安,30,0,30,0,0,,,,
泸州,24,0,24,0,0,,,,
巴中,24,0,24,0,0,,,,
绵阳,22,0,22,0,0,,,,
内江,22,0,22,0,0,,,,
德阳,18,0,18,0,0,,,,
遂宁,17,0,17,0,0,,,,
攀枝花,16,0,16,0,0,,,,
凉山,13,0,13,0,0,,,,
宜宾,12,0,12,0,0,,,,
自贡,9,0,9,0,0,,,,
雅安,8,0,8,0,0,,,,
眉山,8,0,8,0,0,,,,
广元,6,0,6,0,0,,,,
资阳,4,0,4,0,0,,,,
乐山,3,0,3,0,0,,,,
阿坝,1,0,1,0,0,,,,
甘孜州,0,0,0,0,0,,,,
阿坝州,0,0,0,0,0,,,,
未明确地区,0,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
山东,866,0,857,7,0,0.0,,,
济宁,260,0,260,0,0,,,,
境外输入,88,0,87,0,0,,,,
青岛,80,0,78,1,0,,,,
临沂,49,0,49,0,0,,,,
烟台,47,0,47,0,0,,,,
济南,47,0,47,0,0,,,,
潍坊,44,0,44,0,0,,,,
聊城,38,0,38,0,0,,,,
威海,38,0,37,1,0,,,,
德州,37,0,35,2,0,,,,
泰安,35,0,33,2,0,,,,
淄博,30,0,29,1,0,,,,
枣庄,24,0,24,0,0,,,,
菏泽,18,0,18,0,0,,,,
日照,16,0,16,0,0,,,,
滨州,15,0,15,0,0,,,,
东营,0,0,0,0,0,,,,
任城监狱,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
莱芜,0,0,0,0,0,,,,
江苏,694,0,686,0,0,0.0,,,
南京,93,0,93,0,0,,,,
苏州,87,0,87,0,0,,,,
徐州,79,0,79,0,0,,,,
淮安,66,0,66,0,0,,,,
境外输入,63,0,55,0,0,,,,
无锡,55,0,55,0,0,,,,
常州,51,0,51,0,0,,,,
连云港,48,0,48,0,0,,,,
南通,40,0,40,0,0,,,,
泰州,37,0,37,0,0,,,,
盐城,27,0,27,0,0,,,,
扬州,23,0,23,0,0,,,,
宿迁,13,0,13,0,0,,,,
镇江,12,0,12,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
重庆,591,0,584,6,0,0.0,,,
万州区,118,0,114,4,0,,,,
江北区,28,0,28,0,0,,,,
云阳县,25,0,25,0,0,,,,
綦江区,23,0,23,0,0,,,,
合川区,23,0,23,0,0,,,,
长寿区,22,0,22,0,0,,,,
奉节县,22,0,22,0,0,,,,
忠县,21,0,21,0,0,,,,
开州区,21,0,20,1,0,,,,
九龙坡区,21,0,20,1,0,,,,
渝中区,20,0,20,0,0,,,,
垫江县,20,0,20,0,0,,,,
潼南区,18,0,18,0,0,,,,
渝北区,17,0,17,0,0,,,,
两江新区,17,0,17,0,0,,,,
境外输入,15,0,14,0,0,,,,
石柱县,15,0,15,0,0,,,,
南岸区,15,0,15,0,0,,,,
巫溪县,14,0,14,0,0,,,,
大足区,14,0,14,0,0,,,,
丰都县,10,0,10,0,0,,,,
铜梁区,10,0,10,0,0,,,,
巫山县,10,0,10,0,0,,,,
璧山区,9,0,9,0,0,,,,
荣昌区,9,0,9,0,0,,,,
沙坪坝区,9,0,9,0,0,,,,
大渡口区,7,0,7,0,0,,,,
巴南区,6,0,6,0,0,,,,
涪陵区,5,0,5,0,0,,,,
永川区,5,0,5,0,0,,,,
江津区,4,0,4,0,0,,,,
梁平区,4,0,4,0,0,,,,
高新区,4,0,4,0,0,,,,
黔江区,2,0,2,0,0,,,,
城口县,2,0,2,0,0,,,,
彭水县,2,0,2,0,0,,,,
武隆区,1,0,1,0,0,,,,
万盛经开区,1,0,1,0,0,,,,
酉阳县,1,0,1,0,0,,,,
